ulysses thompson	20	1.9	F	CA
katie carson	20	3.65	F	FL
luke king	19	0.73	F	AZ
holly davidson	24	2.43	F	AZ
fred miller	18	3.77	M	AZ
holly white	22	0.24	M	AZ
luke steinbeck	21	1.14	M	WA
nick underhill	24	2.46	M	FL
holly davidson	23	1.26	M	AZ
calvin brown	18	0.72	F	FL
rachel robinson	19	2.25	F	AZ
tom carson	22	0.56	F	WA
tom johnson	23	0.99	M	CA
irene garcia	21	1.06	M	WA
oscar nixon	20	3.6	M	WA
holly allen	23	2.58	M	AZ
oscar hernandez	21	0.05	M	WA
alice ichabod	19	2.25	M	AZ
wendy thompson	23	2.39	M	FL
priscilla hernandez	18	0.23	F	WA
gabriella van buren	21	1.32	F	AZ
yuri thompson	24	3.65	M	AZ
yuri laertes	23	1.16	F	FL
sarah young	18	2.76	F	FL
zach white	22	0.2	M	WA
nick van buren	22	1.75	M	CA
xavier underhill	24	1.51	F	CA
bob ichabod	18	2.81	F	AZ
zach steinbeck	24	2.22	F	WA
alice garcia	19	2.03	F	FL
jessica king	18	3.61	F	CA
calvin nixon	21	0.3	M	WA
fred polk	24	3.69	M	FL
bob zipper	23	0.28	F	AZ
alice young	18	0.31	F	WA
nick underhill	19	1.65	F	WA
mike white	23	0.69	M	WA
calvin ovid	22	3.02	M	AZ
fred steinbeck	20	3.57	F	FL
sarah ovid	22	0	M	AZ
wendy nixon	19	0.62	F	WA
gabriella zipper	21	1.51	F	AZ
david king	23	1.99	M	AZ
jessica white	18	3.82	F	FL
alice robinson	23	3.69	F	CA
zach nixon	24	2.75	F	AZ
irene davidson	24	1.22	F	AZ
priscilla xylophone	21	1.6	M	FL
oscar zipper	21	2.43	F	FL
fred falkner	20	2.23	F	FL
ulysses polk	23	0.01	F	AZ
katie hernandez	21	3.8	F	FL
zach steinbeck	24	0.68	M	AZ
fred laertes	20	3.62	M	AZ
quinn laertes	18	3.66	F	WA
nick garcia	21	0.12	M	CA
oscar young	23	2.22	M	WA
bob underhill	24	0.24	M	CA
calvin young	20	1.6	F	FL
mike allen	22	2.95	M	WA
david young	24	0.26	F	WA
oscar garcia	24	1.59	F	FL
ulysses ichabod	20	0.95	F	AZ
wendy laertes	23	1.13	M	WA
sarah laertes	20	0.24	F	AZ
zach ichabod	20	1.6	F	AZ
tom robinson	24	0.78	F	FL
zach steinbeck	24	1.01	M	AZ
quinn garcia	23	0.98	F	WA
yuri van buren	21	1.97	M	AZ
luke carson	24	0.76	M	AZ
calvin ovid	20	0.82	M	AZ
luke ellison	21	0.56	M	FL
oscar zipper	23	1.31	F	WA
fred steinbeck	20	3.14	M	AZ
katie xylophone	21	1.38	F	WA
luke king	20	2.3	F	FL
ethan white	22	1.43	M	CA
yuri ovid	21	3.64	M	WA
jessica garcia	19	1.08	M	AZ
luke young	22	0.8	F	AZ
mike miller	20	3.35	F	FL
fred hernandez	18	0.17	M	AZ
priscilla hernandez	24	0.35	F	AZ
ethan garcia	18	1.7	F	CA
quinn hernandez	23	2.58	M	AZ
calvin nixon	22	1.01	M	FL
yuri xylophone	20	1.36	M	FL
ulysses steinbeck	24	1.05	M	FL
jessica nixon	18	2.13	M	WA
bob johnson	22	3.31	F	AZ
jessica ichabod	24	2.21	F	FL
zach miller	19	3.87	M	FL
priscilla white	24	2.82	M	AZ
ulysses allen	20	1.68	M	AZ
katie falkner	18	1.49	M	FL
tom king	22	1.91	F	FL
bob laertes	18	3.33	F	WA
luke nixon	23	3.54	F	WA
quinn johnson	20	2.24	F	CA
wendy quirinius	18	0.1	M	WA
victor polk	18	3.63	F	AZ
rachel robinson	18	1.11	M	AZ
sarah king	20	1.37	M	CA
victor young	21	1.72	F	FL
priscilla steinbeck	20	2.11	M	AZ
fred brown	22	2.72	F	FL
xavier underhill	20	3.56	F	WA
irene ovid	19	3.8	F	AZ
calvin brown	23	2.22	M	FL
katie thompson	18	3.27	F	FL
katie carson	21	3.55	F	AZ
tom miller	24	2.83	M	WA
rachel brown	19	0.74	F	WA
holly johnson	20	2.51	M	WA
irene steinbeck	24	1.97	M	WA
wendy falkner	23	0.14	M	WA
ethan white	19	3.62	M	FL
bob underhill	21	1.1	F	FL
jessica king	21	0.69	M	FL
luke steinbeck	18	1.16	F	AZ
luke laertes	19	3.58	F	WA
rachel polk	18	0.92	F	WA
calvin xylophone	23	0.58	F	CA
luke white	21	3.86	F	CA
calvin van buren	22	3.13	F	WA
holly quirinius	22	1.7	F	WA
mike brown	23	1.93	F	CA
yuri ichabod	22	0.7	M	WA
